routecode,stopcode,tripdirection,long,lat
038,5817,1,-122.408128,37.7863310000001
038,5818,1,-122.421415,37.784657
038,6092,1,-122.445796,37.7827060000001
038,6093,0,-122.44593,37.7826700000001
038,7619,1,-122.394037,37.7896890000001
039,4087,1,-122.40579,37.8026600000001
039,5471,1,-122.410594,37.80688
039,6750,1,-122.409932,37.8004110000001
039,6776,1,-122.404508,37.800962
041,3089,1,-122.3967,37.79175
041,4028,1,-122.401118,37.7948200000001
041,4110,1,-122.4043,37.79607
041,4111,0,-122.405742,37.7973190000001
041,5331,0,-122.447183,37.797151
041,5331,1,-122.447183,37.797151
041,5334,0,-122.393577,37.790844
041,5334,1,-122.393577,37.790844
041,6750,0,-122.409932,37.8004110000001
041,6751,1,-122.410643,37.800197
041,6786,0,-122.424241,37.7985850000001
041,6787,1,-122.42415,37.7984690000001
041,6928,0,-122.402064,37.795733
043,3214,1,-122.46608,37.762093
043,3215,0,-122.466241,37.7620400000001
043,3941,0,-122.436176,37.8009070000001
043,3941,1,-122.436176,37.8009070000001
043,4886,1,-122.440874,37.7164730000001
043,5245,1,-122.458836,37.7483270000001
043,5247,0,-122.458939,37.748157
043,5434,0,-122.451239,37.7314720000001
043,5435,1,-122.451445,37.731615
043,5631,0,-122.43295,37.71293
043,5631,1,-122.43295,37.71293
043,5712,0,-122.44542,37.7703100000001
043,5713,1,-122.445304,37.7703480000001
043,5922,1,-122.45226,37.7241000000001
043,5923,0,-122.45243,37.72385
043,6088,1,-122.446736,37.787381
043,6089,0,-122.44688,37.7873700000001
043,7149,1,-122.45013,37.798052
043,7671,0,-122.441,37.7164100000001
044,3184,1,-122.464182,37.780876
044,3185,0,-122.464354,37.7807680000001
044,3214,1,-122.46608,37.762093
044,3215,0,-122.466241,37.7620400000001
044,3695,1,-122.434011,37.733595
044,3696,0,-122.43408,37.7334880000001
044,3826,0,-122.465432,37.784819
044,3826,1,-122.465432,37.784819
044,4547,0,-122.387862,37.742628
044,4547,1,-122.387862,37.742628
044,5245,1,-122.458836,37.7483270000001
044,5247,0,-122.458939,37.748157
044,5863,1,-122.390825,37.734019
044,5864,0,-122.390768,37.7338140000001
044,6414,1,-122.431114,37.728776
044,6415,0,-122.431217,37.72866
044,6421,0,-122.405695,37.7323480000001
044,6422,1,-122.405947,37.7324110000001
044,7269,0,-122.45879,37.7478360000001
047,3163,0,-122.395135,37.7771090000001
047,3163,1,-122.395135,37.7771090000001
047,3238,1,-122.41263,37.7708500000001
047,3754,0,-122.41045,37.7696700000001
047,5472,1,-122.425111,37.805037
047,6815,1,-122.42006,37.7799000000001
047,6816,0,-122.420324,37.779687
047,6817,1,-122.419194,37.7753050000001
047,6819,0,-122.425363,37.8046800000001
047,6821,0,-122.419482,37.7755270000001
047,6824,0,-122.421254,37.784683
047,6827,1,-122.42133,37.7861100000001
047,6832,0,-122.424104,37.798621
047,6833,1,-122.423863,37.7984690000001
047,7038,0,-122.412248,37.807604
047,7038,1,-122.412248,37.807604
048,3411,0,-122.388455,37.760411
048,3411,1,-122.388455,37.760411
048,3435,0,-122.3918,37.757771
048,3439,1,-122.393052,37.7575850000001
048,3450,1,-122.402668,37.754448
048,3462,0,-122.434248,37.75136
048,3463,1,-122.433939,37.7512620000001
048,3476,0,-122.418333,37.7523210000001
048,3477,1,-122.41855,37.7521780000001
048,4781,0,-122.50755,37.74544
048,4781,1,-122.50755,37.74544
048,4932,1,-122.44251,37.74852
048,4933,0,-122.442635,37.748229
048,6160,1,-122.494399,37.7477650000001
048,6548,0,-122.494915,37.747578
048,6744,0,-122.466006,37.7409200000001
048,6744,1,-122.466006,37.7409200000001
049,5551,1,-122.41964,37.76554
049,5552,0,-122.41971,37.76455
049,5565,1,-122.41841,37.75273
049,5566,0,-122.418528,37.751964
049,5571,1,-122.421819,37.7424350000001
049,5572,0,-122.422,37.74244
049,5620,1,-122.4313,37.72862
049,5621,0,-122.431412,37.7286960000001
049,5796,0,-122.435731,37.723941
049,5926,1,-122.453896,37.7236110000001
049,5927,0,-122.45356,37.72376
049,6815,1,-122.42006,37.7799000000001
049,6816,0,-122.420324,37.779687
049,6817,1,-122.419194,37.7753050000001
049,6819,0,-122.425363,37.8046800000001
049,6819,1,-122.425363,37.8046800000001
049,6821,0,-122.419482,37.7755270000001
049,6824,0,-122.421254,37.784683
049,6827,1,-122.42133,37.7861100000001
049,6832,0,-122.424104,37.798621
049,6833,1,-122.423863,37.7984690000001
052,913,0,-122.425802,37.7191920000001
052,913,1,-122.425802,37.7191920000001
052,3695,1,-122.434011,37.733595
052,3696,0,-122.43408,37.7334880000001
052,4367,1,-122.43751,37.7436300000001
052,4369,0,-122.43786,37.74359
052,4572,0,-122.433577,37.726162
052,5247,0,-122.458939,37.748157
052,5247,1,-122.458939,37.748157
052,5586,1,-122.43351,37.7263550000001
054,3018,0,-122.40324,37.727739
054,3019,1,-122.403269,37.7276450000001
054,3141,1,-122.390928,37.734091
054,3621,0,-122.4669,37.7116300000001
054,3622,1,-122.46717,37.711418
054,4341,0,-122.469273,37.705764
054,4341,1,-122.469273,37.705764
054,4456,1,-122.37313,37.728779
054,4803,0,-122.447219,37.72105
054,4805,1,-122.44723,37.7208630000001
054,4886,0,-122.440874,37.7164730000001
054,5041,0,-122.388632,37.7403440000001
054,5041,1,-122.388632,37.7403440000001
054,5703,0,-122.42876,37.7198230000001
054,5914,1,-122.428676,37.719728
054,6968,0,-122.39295,37.72938
054,6969,1,-122.39285,37.72925
054,7671,1,-122.441,37.7164100000001
056,4575,1,-122.392836,37.7098040000001
056,6352,1,-122.402419,37.7122890000001
056,7041,1,-122.40619,37.71534
056,7057,1,-122.41374,37.71612
067,3476,0,-122.418333,37.7523210000001
067,3476,1,-122.418333,37.7523210000001
067,4202,0,-122.411283,37.7349110000001
067,4568,0,-122.41491,37.7347100000001
067,4568,1,-122.41491,37.7347100000001
067,4684,0,-122.41379,37.74848
067,4685,1,-122.41359,37.7481100000001
067,4687,1,-122.4133,37.7388800000001
067,4688,0,-122.41337,37.7388
076X,3164,0,-122.394895,37.776894
076X,3164,1,-122.394895,37.776894
076X,4728,0,-122.53867,37.8323800000001
076X,4728,1,-122.53867,37.8323800000001
076X,4777,1,-122.475046,37.8065710000001
076X,4778,0,-122.475241,37.8072310000001
076X,6024,1,-122.421448,37.786575
076X,6613,0,-122.42154,37.78763
080,3026,0,-122.40184,37.8021600000001
080,3089,0,-122.3967,37.79175
080,3163,0,-122.395135,37.7771090000001
080,3164,1,-122.394895,37.776894
080,4017,0,-122.39902,37.7950980000001
080,6290,1,-122.400179,37.794135
080,6329,1,-122.40294,37.8023400000001
083X,3163,0,-122.395135,37.7771090000001
083X,3209,0,-122.414597,37.7784980000001
083X,7669,0,-122.416305,37.7773750000001
088,4803,1,-122.447219,37.72105
088,4805,0,-122.44723,37.7208630000001
088,4885,1,-122.44108,37.716714
088,5592,0,-122.441149,37.7164550000001
088,5619,0,-122.45332,37.7086600000001
088,6391,1,-122.45478,37.71029
090,3772,0,-122.402614,37.7122350000001
090,6026,1,-122.407474,37.7660310000001
090,6027,0,-122.407646,37.765701
090,6038,1,-122.406267,37.753254
090,6039,0,-122.40644,37.7526800000001
090,6352,1,-122.402419,37.7122890000001
090,6364,1,-122.40537,37.73206
090,6365,0,-122.40556,37.7321700000001
090,6817,1,-122.419194,37.7753050000001
090,6821,0,-122.419482,37.7755270000001
090,6824,0,-122.421254,37.784683
090,7476,0,-122.425352,37.8048400000001
090,7476,1,-122.425352,37.8048400000001
091,390,0,-122.475096,37.72119
091,3103,1,-122.38846,37.76079
091,3104,0,-122.3887,37.76059
091,3163,0,-122.395135,37.7771090000001
091,3165,1,-122.394746,37.7770100000001
091,3356,1,-122.475302,37.7211100000001
091,3772,0,-122.402614,37.7122350000001
091,4119,1,-122.410356,37.8005000000001
091,4120,0,-122.410436,37.8003840000001
091,4803,0,-122.447219,37.72105
091,4805,1,-122.44723,37.7208630000001
091,4886,0,-122.440874,37.7164730000001
091,4900,0,-122.420354,37.7084840000001
091,5509,1,-122.38444,37.7410600000001
091,5510,0,-122.38464,37.7411300000001
091,5952,1,-122.472412,37.7805710000001
091,5953,0,-122.472217,37.7807760000001
091,6523,1,-122.406923,37.7895960000001
091,6524,0,-122.40714,37.789953
091,6739,0,-122.4658,37.740956
091,6739,1,-122.4658,37.740956
091,6800,0,-122.42464,37.80258
091,6801,1,-122.424905,37.8024310000001
091,7334,1,-122.402179,37.712226
091,7671,1,-122.441,37.7164100000001
108,6684,0,-122.37144,37.81622
